Question,Accepted Answer,Paraphrased Question
Dividing a list into two lists,"<p>My solution is :</p>

<pre><code>Training_list = [11,22,33,44,55,77,99,0.333,None,""&lt;=50K""],[33,0.3344,88,44,55,11,None,""&lt;=50K""],[22,44,0.334455,11,44,66,""&gt;50K""]

liste =[]
under_50k =[]
over_50k =[]
i=0
while 1:
    try:
        liste = Training_list[i]
        i+=1
    except:
        break
    if liste[len(liste)-1] == '&lt;=50K':
        under_50k.append(liste)
    if liste[len(liste)-1] == '&gt;50K':
        over_50k.append(liste)

print(""under"",under_50k)
print(""over"",over_50k)
</code></pre>

<p>And the output is :</p>

<pre><code>under [[11, 22, 33, 44, 55, 77, 99, 0.333, None, '&lt;=50K'], [33, 0.3344, 88, 44, 55, 11, None, '&lt;=50K']]
over [[22, 44, 0.334455, 11, 44, 66, '&gt;50K']]
</code></pre>
",Splitting a single list into two separate lists
Bubble Sort Highest to Lowest (Python),"<p>You need to change the symbol in the if condition, here is a code with the two ways (lowest to highest and highest to lowest) in your function:</p>
<pre><code>def inplace_bubble_sort(to_sort, lower_first=True):
    for i in range(len(to_sort)):
        for j in range(len(to_sort) - 1):
            if lower_first:
                sort_condition = to_sort[j] &gt; to_sort[j + 1]
            else:
                sort_condition = to_sort[j] &lt; to_sort[j + 1]
            if sort_condition:
                to_sort[j], to_sort[j + 1] = to_sort[j + 1], to_sort[j]


a = [3, 4, 2, 31, 6, 1]
inplace_bubble_sort(a)
print(a)
inplace_bubble_sort(a, lower_first=False)
print(a)

result: 
first print -&gt; [1, 2, 3, 4, 6, 31] 
second print -&gt; [31, 6, 4, 3, 2, 1]
</code></pre>
",Reversing Bubble Sort: Organizing Numbers from Maximum to Minimum in Python
More than 3-Way Checkbox,"<p>You can do something like this:</p>

<p><strong>HTML</strong></p>

<pre><code>&lt;form method=""POST""&gt;
    &lt;img src=""german.png"" onclick=""switchCountry(this);""/&gt;
    &lt;input id=""country"" name=""country"" type=""hidden"" value=""german"" /&gt;
    &lt;input type=""submit"" value=""Submit"" /&gt;
&lt;/form&gt;
</code></pre>

<p><strong>JavaScript</strong></p>

<pre><code>var countries = ['german', 'netherlands', 'swiss'];

var switchCountry = function(img) {
    var input = document.getElementById('country'),
        oldValue = input.getAttribute('value'),
        newValue = countries[(countries.indexOf(oldValue) + 1) % countries.length];

    // Switch input value that will be posted with form 
    input.setAttribute('value', newValue);

    // Switch graphical representation of country
    img.setAttribute('src', newValue + '.png');
};
</code></pre>

<p>Example here <a href=""http://jsbin.com/alasip/1/edit"" rel=""nofollow"">http://jsbin.com/alasip/1/edit</a></p>
",Checkboxes Beyond Three Options
Variable loops and synchronization,"<p>For your simple example with a primitive value like a Boolean flag, no synchronization is necessary in Python. At least, not in CPython (the standard interpreter you can download from python.org).</p>

<p>That's because the whole interpreter is covered by the ""Global Interpreter Lock"" so only one thread can be running at a time at the Python level (multiple threads could potentially be doing stuff at the same time in extension modules, if those modules are set up to release the GIL at appropriate times). So, when your worker thread looping in the <code>start</code> function checks the <code>running</code> attribute, it is guaranteed that that object is in a sane state. If no code other than shut_down modifies it, you can even be sure that it will be <code>True</code> or <code>False</code>.</p>

<p>So, if you are going to be using CPython and you're sticking to very simple logic (like a Boolean flag that is only ever written to by one thread), your first example code will work just fine.</p>

<p>If you need more complicated logic, like a counter that can be incremented by any of several threads, then you will need a bit of synchronization to avoid race conditions like <a href=""http://en.wikipedia.org/wiki/Time_of_check_to_time_of_use"" rel=""nofollow"">TOCTTOU</a>.</p>

<p>One of the easiest synchronization tools that Python offers is <a href=""http://docs.python.org/3/library/queue.html"" rel=""nofollow"">the <code>queue</code> module</a>, which allows synchronized communication between threads in a FIFO manner. I can't speak to its performance compared to lower level stuff, but it's really easy to get code working correctly with queues (whereas its pretty easy to mess up manual locking, ending up with deadlocks or race conditions that are a nightmare to debug).</p>
",Dynamic variable iterations and thread coordination
Retrieve json data based on select value,"<p>This should do it;</p>

<pre><code>printDataOf('Jack');

function printDataOf(val) {

    var data = '{""Jack"":[""my1@email.com"",""US""],""Rob"":[""rob@email.com"",""UK""]}';

    var match = JSON.parse(data)[val];
    var email = match[0];
    var country = match[1];

    alert(email);
    alert(country);

}
</code></pre>
",Extract JSON information according to specified criteria.
Remove duplicates with max performance,"<p>I think you can do this in the following way </p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>let obj = {
  3: [ ""1-2"", ""4-5"" ],
  4: [ ""1-2"", ""6-9"" ]
};

let reverseMap = {};
for(property in obj){
 for(let element of obj[property]){
  if(reverseMap[element] == undefined || reverseMap[element] == null){
   ;
  }
  else {
   obj[reverseMap[element]].splice(obj[reverseMap[element]].indexOf(element), 1);
  }
  reverseMap[element] = property;
 }
}

console.log(obj);</code></pre>
</div>
</div>
</p>
",Eliminate redundancies with optimal efficiency
Java 7's nio.file package is uber slow at creating new files,"<p>I think your slowness is coming from creating new files, not actual transfer. I believe that creating a file is a synchronous operation in Linux: the system call will not return until the file has been created and the directory updated. This suggests a couple of things you can do:</p>

<ul>
<li>Use multiple writer threads with a single reader thread. The reader thread will read data from the source file into a <code>byte[]</code>, then create a <code>Runnable</code> that writes the output file from this array. Use a <a href=""http://docs.oracle.com/javase/6/docs/api/java/util/concurrent/ThreadPoolExecutor.html"" rel=""nofollow"">threadpool</a> with lots of threads -- maybe 100 or more -- because they'll be spending most of their time waiting for the <code>creat</code> to complete. Set the capacity of this pool's inbound queue based on the amount of memory you have: if your files are 10k in size, then a queue capacity of 1,000 seems reasonable (there's no good reason to allow the reader to get too far ahead of the writers, so you could even go with a capacity of twice the number of threads).</li>
<li>Rather than NIO, use basic <code>BufferedInputStream</code>s and <code>BufferedOutputStreams</code>. Your problem here is syscalls, not memory speed (the NIO classes are designed to prevent copies between heap and off-heap memory).</li>
</ul>

<p>I'm going to assume that you already know not to attempt to store all the files into a single directory. Or even store more than a few hundred files in one directory.</p>

<p>And as another alternative, have you considered S3 for storage? I'm guessing that its bucket keys are far more efficient than actual directories, and there is a <a href=""http://code.google.com/p/s3fs/"" rel=""nofollow"">filesystem</a> that lets you access buckets as if they were files (haven't tried it myself).</p>
",Why does the nio.file package in Java 7 exhibit sluggish performance when generating new files?
Making form's onsubmit to work only for particular submits,"<pre><code>instead of onsubmit u can use onClick.

&lt;input type=""submit"" onclick=""return pressSubmit1()"" value=""submit1"" /&gt;

&lt;input type=""submit"" onclick=""return pressSubmit2()"" value=""submit2"" /&gt;
</code></pre>
",Configuring form submission to trigger actions exclusively for specific submit events
play 2.4 migration sbt error,"<p>Plese look at the answer to this question </p>

<p><a href=""https://stackoverflow.com/questions/28640254/cant-use-sbt-0-13-7-with-play-subprojects"">Can&#39;t use sbt 0.13.7 with Play subprojects</a></p>

<p>It looks very similar. If you have current sbt version 0.13.5 then I am pretty sure that this is exactly yours problem</p>
",Issues encountered during sbt migration for Play Framework 2.4
"std::map<std::string,std::string> conversion of JavaCPP","<p>I managed to do this by changing...</p>

<p>TestLibrary.h:</p>

<pre><code>#include &lt;string&gt;
#include &lt;map&gt;


class TestClass {
    public:
        TestClass() {
            property[""a""]=""b"";
        }
        std::map&lt;std::string,std::string&gt;&amp; getMap(std::string str) { 
            if (str == ""a""){
                return property; 
            }
        }
        std::map&lt;std::string,std::string&gt; property;
};
</code></pre>

<p>TestLibrary.java</p>

<pre><code>import org.bytedeco.javacpp.*;
import org.bytedeco.javacpp.annotation.*;

@Platform(include=""TestLibrary.h"")
public class TestLibrary { 
    public static class TestClass extends Pointer {
    static { Loader.load(); }
    public TestClass() { allocate(); }
    private native void allocate();

    public native @ByRef KeyValueMap getMap(String str);    
}

@Name(""std::map&lt;std::string,std::string&gt;"") 
public static class KeyValueMap extends Pointer { 
 static { Loader.load(); } 
 public KeyValueMap(Pointer p) { super(p); } 
 public KeyValueMap()       { allocate();  } 
 private native void allocate(); 

 public native long size(); 

 @Index public native @StdString BytePointer get(@StdString BytePointer i); 
 public native KeyValueMap put(@StdString BytePointer i, BytePointer value); } 

public static void main(String[] args) {
    TestClass l = new TestClass();
    KeyValueMap m = l.getMap(""a"");
    System.out.println(m.size());
    System.out.println(m.get(new BytePointer(""a"")).getString());
}} 
</code></pre>
","Transforming std::map<std::string, std::string> to JavaCPP format"
ASP.NET Menu Parent Menu Item Highlighting on Hover when Flyouts are enabled,"<p>The only server side solution I can think of would be to set the client side solution on page load. </p>

<p>Is there a reason that you would want to build this server side rather than client side? Because forcing an event like this to occur server side is, by definition, rather inelegant. </p>
",Highlighting Parent Menu Items on Hover in ASP.NET with Active Flyout Menus
Angular Formbuilder validation from Laravel Backend,"<p>I would try to debug the Form controls properties when they are in the frontend Component (when it is named '<em>createDetailsForm</em>') and when they are in the validate function (when it is named '<em>form</em>'). Without testing throughtly it seems that the form object is duplicated and then the changes made in the <em>validate</em> function are not propagated to the form defined in the visual component.
I would also try to change the signature of the <em>validate</em> function so it returns the incorrect fields, something like that:</p>
<pre><code>return ['field1', 'field2']
</code></pre>
<p>And in the error handler try to update the original form control:</p>
<pre><code>(error) =&gt; {
    this.serverValidation.validate(error, this.createDetailsForm).forEach(errorControl =&gt; {
    this.createDetailsForm.get(errorControl).setErrors = ({ 'test': true })
    })
  }
</code></pre>
",Implementing Laravel Backend Validation for Angular Formbuilder
Convert INT64 String to INT64 number in javascript,"<p>Since you only need to send the number to an API you don't actually need to worry about actually representing it inside of JS as a (big) number. Just send it:</p>
<pre><code>  const number = '144349945283010116';
  const stringToSend = `{&quot;keywordId&quot;: ${number}}`;  
</code></pre>
",Transform a string representation of INT64 into an INT64 numeric type using JavaScript.
Python: How to plot different plots separately in a function?,"<p>In your example, your 3 plots do have a relationship to each other -- they share the same x data.  Subplots are perfect for displaying your plots, and you can maintain full control on how you want to label them. Here is how:</p>
<pre><code>from matplotlib import pyplot as plt
from numpy import*
import math

t = linspace(0, 2*math.pi, 400)
a = sin(t)
b = cos(t)
c = a + b

fig, (ax1, ax2, ax3) = plt.subplots(3, 1)

ax1.plot(t, a, 'r')
ax1.set(xlabel ='t', ylabel = 'sin(t)')
ax1.set_title('Sin Graph', y=1.0, pad= -20)

ax2.plot(t, b, 'b', )
ax2.set(xlabel ='t', ylabel = 'cos(t)')
ax2.set_title('Cos Graph', y=1.0, pad= -20)

ax3.plot(t, c, 'g')
ax3.set(xlabel ='t', ylabel = 'sin(t) + cos(t)')
ax3.set_title('Sin + Cos Graph', y=1.0, pad= -20)

plt.show()
</code></pre>
<p><a href=""https://i.stack.imgur.com/5zzqN.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/5zzqN.png"" alt=""enter image description here"" /></a></p>
<p>If you really want to do it as 3 independent plots that refer to the same formulae, you can do it as shown below.  Each plot is saved separately. Each plot shows after you close the preceding one.</p>
<pre><code>t = linspace(0, 2*math.pi, 400)
a = sin(t)
b = cos(t)
c = a + b

plt.plot(t, a, 'r')
plt.xlabel('t')
plt.ylabel('sin(t)')
plt.title('Sin Graph')
plt.savefig('Sin_Graph')
plt.show()

plt.plot(t, b, 'b')
plt.xlabel('t')
plt.ylabel('cos(t)')
plt.title('Cos Graph')
plt.savefig('Cos_Graph')
plt.show()

plt.plot(t, c, 'g')
plt.xlabel('t')
plt.ylabel('sin(t) + cos(t)')
plt.title('Sin + Cos Graph')
plt.savefig('Combined_Graph')
plt.show()
</code></pre>
",Python: What is the method for generating distinct plots within a single function?
Show/Hide Div Depending On asp:RadioButton Selection,"<p>Added <code>hidden</code> to the top level <code>div</code> and amended my name in the following <code>JQuery</code></p>

<p><strong>HTML</strong></p>

<pre><code>&lt;div class=""form-group"" id=""hiddenSpecificPages"" hidden&gt;
    &lt;asp:Label ID=""Step03SpecificPagesLabel"" class=""col-sm-4 control-label"" runat=""server"" Text=""Please specify all specific page URL's *"" AssociatedControlID=""Step03SpecificPagesField""&gt;&lt;/asp:Label&gt;
    &lt;div class=""col-sm-4""&gt;
        &lt;asp:TextBox ID=""Step03SpecificPagesField"" runat=""server"" class=""form-control"" TextMode=""MultiLine"" Rows=""10""&gt;&lt;/asp:TextBox&gt;
    &lt;/div&gt;
    &lt;div class=""col-sm-offset-4 col-sm-8""&gt;
        &lt;asp:RequiredFieldValidator Display=""Dynamic"" runat=""server"" ID=""reqStep03SpecificErrorMessage"" SetFocusOnError=""true"" ForeColor=""Red"" ControlToValidate=""Step03SpecificPagesField"" ErrorMessage=""Please list all the page URL's you would like us to look at."" /&gt;
    &lt;/div&gt;
&lt;/div&gt;
</code></pre>

<p><strong>JQuery</strong></p>

<pre><code>$(function () {
    $(""input[name='ctl00$MainContent$Step03PgSelection']"").click(function () {
        if ($(""#MainContent_Step03SelectionPgsRadioButton"").is("":checked"")) {
            $(""#hiddenSpecificPages"").show();
        } else {
            $(""#hiddenSpecificPages"").hide();
        }
    });
});
</code></pre>
",Dynamically Display or Conceal a Div Based on the Selection of an asp:RadioButton
How can I remove the middle of a pandas group and keep the head and tail only?,"<p>You can use <a href=""https://pandas.pydata.org/pandas-docs/stable/reference/api/pandas.core.groupby.GroupBy.nth.html"" rel=""nofollow noreferrer""><code>groupby.nth</code></a> to keep the first and last samples within each group:</p>

<pre><code>df = df.groupby('Item').nth([0,-1]).reset_index()

    Item   Location       ID    Qty    Time
0  995820       381  202546661    1  06:55:07
1  995820       761  202547268    1  07:12:44
2  995822       494  202546857    1  06:58:30
3  999810       455  202546771    1  06:56:52
4  999810       761  202547268    1  07:13:04
5  999825       494  202546857    2  06:58:52
6  999942       424  202546723    1  06:55:36
7  999942       654  202547101    1  07:01:42
</code></pre>
",What is the method to extract only the beginning and end of a pandas group while omitting the central portion?
How to change genomewideline_value of volcano plot with Range Slider,"<p>I don't use occasional or Dash, but I think what I noticed when I ran your code is that genomewideline_value only accepts a single value instead of taking a range value. if I change it from a range slider to a drop down, the change is as intended. I have tested this in the Colab environment with the jupyter_dash module in place, so please modify it for your environment.</p>
<pre><code>import pandas as pd
import dash
from dash.dependencies import Input, Output
import dash_bio as dashbio
from dash import html, dcc

#app = dash.Dash(__name__)
app = JupyterDash(__name__)

df = pd.read_csv('https://git.io/volcano_data1.csv')
#print(df)

app.layout = html.Div([
    'Effect sizes',
    dcc.RangeSlider(
        id='default-volcanoplot-input',
        min=-3,
        max=3,
        step=0.05,
        marks={i: {'label': str(i)} for i in range(-3, 3)},
        value=[-0.5, 1]
    ),
    dcc.Dropdown(id='volcanpplot_dp',
                 options=[0,1,2,3,4,5,6,7,8],
                 value=4        
    ),
    html.Br(),
    html.Div(
        dcc.Graph(
            id='dashbio-default-volcanoplot',
            figure=dashbio.VolcanoPlot(
                dataframe=df
            )
        )
    )
])

@app.callback(
    Output('dashbio-default-volcanoplot', 'figure'),
    [
     Input('default-volcanoplot-input', 'value'),
     Input('volcanpplot_dp', 'value')
     ]
)
def update_volcanoplot(effects, effects2):
    return dashbio.VolcanoPlot(
        dataframe=df,
        point_size=8,
        genomewideline_value=effects2,
        genomewideline_width=2,
        effect_size_line=effects,
        effect_size_line_width=2,
    )

if __name__ == '__main__':
    app.run_server(debug=True, mode='inline')
</code></pre>
<p><a href=""https://i.stack.imgur.com/by3Or.png"" rel=""nofollow noreferrer""><img src=""https://i.stack.imgur.com/by3Or.png"" alt=""enter image description here"" /></a></p>
",What is the method to adjust the genomewideline_value in a volcano plot using a Range Slider?
How do I construct a fix-sized matrix from an array of numbers in Java?,"<p>Initial the array :</p>

<pre><code> int [][] numbers = new int [nrow][ncol]; // suppose 3X3
</code></pre>

<p>Assign each index to some <em>integer</em> number:</p>

<pre><code> Scanner s = new Scanner(System.in);
 for(int i = 0 ; i &lt; nrow ; i++)
  for(int j = 0 ; j &lt; ncol; j++)
    numbers[i][j] = s.nextInt();
</code></pre>

<p>And print the matrix :</p>

<pre><code>for(int []n : numbers){
  for(int i : n){
      System.out.println(i);
  }
 System.out.println();
}
</code></pre>
",What is the method for creating a fixed-dimension matrix using a numeric array in Java?
How to read an iterable page by page?,"<p>Thanks to everyone's help, here's what I came up:</p>
<pre><code>from typing import Iterator

import pytest


class PageItems:
    def __init__(
        self,
        iterator: Iterator,
        page_size: int,
    ):
        self.items_generator = self._create_items_generator(iterator, page_size)

    @staticmethod
    def _create_items_generator(
        iterator: Iterator,
        page_size: int,
    ):
        for _ in range(page_size):
            try:
                yield next(iterator)
            except StopIteration:
                return

    def __iter__(self):
        return self

    def __next__(self):
        return next(self.items_generator)


def test_read_one_page():
    iterable = [1, 2, 3, 4, 5]

    page_items = PageItems(iter(iterable), 3)
    assert next(page_items) == 1
    assert next(page_items) == 2
    assert next(page_items) == 3

    with pytest.raises(StopIteration):
        next(page_items)


def test_read_pages():
    iterable = [1, 2, 3, 4, 5]
    pages = []
    iterator = iter(iterable)

    while page_items := list(PageItems(iterator, 2)):
        pages.append(page_items)

    assert pages == [[1, 2], [3, 4], [5]]

def test_read_pages_modified_items():
    iterable = [(1, &quot;A&quot;), (2, &quot;B&quot;), (3, &quot;C&quot;), (4, &quot;D&quot;), (5, &quot;E&quot;)]
    pages = []
    iterator = iter(iterable)

    while page_items := [item[0] for item in PageItems(iterator, 2)]:
        pages.append(page_items)

    assert pages == [[1, 2], [3, 4], [5]]
</code></pre>
<p>I won't be able to use a for loop over <code>PageItems</code>, as it will always spit empty pages in the end, but with a <code>while</code> I can check for emptyness without having to resort to an ugly <code>if/break</code> block. This also allows me to either call <code>list(PageItems(iterator, 2))</code> if I just need the items without modifications, or <code>[item[0] for item in PageItems(iterator, 2)]</code> it for exemple the items returned are tuples and I just want the first element.</p>
","What is the method to process an iterable in chunks, one page at a time?"
